Food name,Calories,Protein,Carbs,Fat,Diet type
Oatmeal with Berries,320,12,52,7,Veg
Greek Yogurt Parfait,280,18,34,8,Veg
Paneer Bhurji,360,21,10,24,Veg
Vegetable Upma,290,7,44,8,Veg
Moong Dal Chilla,250,14,30,7,Veg
Tofu Scramble,240,19,9,14,Vegan
Vegan Protein Smoothie,330,25,35,10,Vegan
Quinoa Salad,350,13,48,11,Vegan
Chickpea Buddha Bowl,410,16,54,13,Vegan
Lentil Soup,220,12,30,5,Vegan
Grilled Chicken Breast,290,43,0,12,High-Protein
Egg White Omelette,180,24,4,7,High-Protein
Salmon with Greens,420,35,8,26,Keto
Avocado Egg Bowl,390,17,12,30,Keto
Cauliflower Rice Stir Fry,260,11,18,15,Keto
Zucchini Noodles Pesto,300,9,16,22,Keto
Chicken Caesar Salad,370,32,11,21,Low-Carb
Turkey Lettuce Wrap,260,28,9,11,Low-Carb
Baked Sweet Potato,180,4,41,0,Veg
Brown Rice and Dal,410,16,68,8,Veg
Rajma Chawal,460,17,72,10,Veg
Palak Paneer,340,18,12,23,Veg
Tofu Curry,320,17,14,20,Vegan
Mixed Sprouts Salad,210,14,28,4,Vegan
Peanut Butter Toast,300,11,30,15,Veg
Banana Almond Shake,360,14,44,13,Veg
Keto Chicken Bowl,430,36,10,27,Keto
Beef Steak and Broccoli,470,41,9,29,Paleo
Paleo Grilled Fish,390,34,6,24,Paleo
Roasted Vegetable Wrap,320,10,46,10,Veg
Hummus Veggie Sandwich,340,12,48,11,Vegan
Millet Khichdi,300,11,47,7,Veg
Idli Sambar,260,10,42,4,Veg
Dosa with Chutney,330,8,48,11,Veg
Soya Chunk Curry,350,28,20,15,High-Protein
Protein Oats Bowl,340,24,38,9,High-Protein
Grilled Tofu Skewers,280,20,13,15,Vegan
Cottage Cheese Salad,300,19,15,17,Veg
Almond Flour Pancakes,370,15,18,26,Keto
Egg Salad Lettuce Cups,310,20,7,22,Keto
Chicken Quinoa Bowl,420,33,39,14,High-Protein
Tuna Salad,280,30,6,14,Low-Carb
Fruit and Nut Bowl,290,7,36,14,Veg
Vegan Burrito Bowl,430,17,62,12,Vegan
Keto Paneer Tikka,360,24,8,24,Keto
Paleo Chicken Soup,250,27,9,10,Paleo
Spinach Mushroom Omelette,260,21,7,16,Low-Carb
Whole Wheat Pasta Primavera,410,14,63,10,Veg
Vegan Lentil Pasta,390,22,55,9,Vegan
Grilled Shrimp Plate,320,35,8,14,High-Protein
Chia Pudding,230,8,22,12,Vegan
Keto Avocado Smoothie,340,9,11,28,Keto
Mushroom Soup,170,6,18,7,Veg
Boiled Eggs and Salad,240,19,6,15,Low-Carb
Tempeh Stir Fry,360,23,27,16,Vegan
Paneer Wrap,390,22,32,18,Veg
Chicken and Veg Soup,210,24,10,7,High-Protein
Keto Broccoli Cheese Bake,380,18,13,27,Keto
Paleo Veggie Skillet,310,14,22,17,Paleo
